LAST SEEN   TYPE      REASON                                                                                                OBJECT                                                     MESSAGE
8m32s       Normal    UpdatedLoadBalancer                                                                                   service/determined-master-service-eliu-deployment          Updated load balancer with new hosts
13m         Warning   FailedScheduling                                                                                      pod/exp-27-trial-42-0-correct-rooster                      0/1 nodes are available: 1 Insufficient nvidia.com/gpu.
12m         Warning   FailedScheduling                                                                                      pod/exp-27-trial-42-0-correct-rooster                      skip schedule deleting pod: default/exp-27-trial-42-0-correct-rooster
12m         Normal    TriggeredScaleUp                                                                                      pod/exp-27-trial-42-0-correct-rooster                      pod triggered scale-up: [{https://content.googleapis.com/compute/v1/projects/determined-ai/zones/us-west1-b/instanceGroups/gke-eliu-test-eliu-pool-3c1127aa-grp 0->1 (max: 4)}]
12m         Normal    Scheduled                                                                                             pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Successfully assigned default/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak to gke-eliu-test-default-pool-a669610c-1ddm
12m         Normal    Pulled                                                                                                pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Container image "determinedai/environments:py-3.6.9-pytorch-1.4-tf-1.15-cpu-aaa3750" already present on machine
12m         Normal    Created                                                                                               pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Created container determined-init-container
12m         Normal    Started                                                                                               pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Started container determined-init-container
12m         Normal    Pulled                                                                                                pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Container image "determinedai/environments:py-3.6.9-pytorch-1.4-tf-1.15-cpu-aaa3750" already present on machine
12m         Normal    Created                                                                                               pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Created container determined-gc
12m         Normal    Started                                                                                               pod/gc-ac695f38-2c15-4fa0-adef-e35310ff77f9-legal-kodiak   Started container determined-gc
49m         Normal    ScaleDown                                                                                             node/gke-eliu-test-eliu-pool-3c1127aa-qzsv                 node removed by cluster autoscaler
48m         Normal    NodeNotReady                                                                                          node/gke-eliu-test-eliu-pool-3c1127aa-qzsv                 Node gke-eliu-test-eliu-pool-3c1127aa-qzsv status is now: NodeNotReady
47m         Normal    Deleting node gke-eliu-test-eliu-pool-3c1127aa-qzsv because it does not exist in the cloud provider   node/gke-eliu-test-eliu-pool-3c1127aa-qzsv                 Node gke-eliu-test-eliu-pool-3c1127aa-qzsv event: DeletingNode
47m         Normal    RemovingNode                                                                                          node/gke-eliu-test-eliu-pool-3c1127aa-qzsv                 Node gke-eliu-test-eliu-pool-3c1127aa-qzsv event: Removing Node gke-eliu-test-eliu-pool-3c1127aa-qzsv from Controller
9m51s       Normal    Starting                                                                                              node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Starting kubelet.
9m51s       Normal    NodeHasSufficientMemory                                                                               node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 status is now: NodeHasSufficientMemory
9m51s       Normal    NodeHasNoDiskPressure                                                                                 node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 status is now: NodeHasNoDiskPressure
9m51s       Normal    NodeHasSufficientPID                                                                                  node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 status is now: NodeHasSufficientPID
9m51s       Normal    NodeAllocatableEnforced                                                                               node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Updated Node Allocatable limit across pods
9m51s       Normal    NodeReady                                                                                             node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 status is now: NodeReady
9m50s       Normal    RegisteredNode                                                                                        node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 event: Registered Node gke-eliu-test-eliu-pool-3c1127aa-z0r6 in Controller
9m49s       Normal    Starting                                                                                              node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Starting kube-proxy.
9m46s       Warning   ContainerdStart                                                                                       node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Starting containerd container runtime...
9m46s       Warning   DockerStart                                                                                           node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Starting Docker Application Container Engine...
9m46s       Warning   KubeletStart                                                                                          node/gke-eliu-test-eliu-pool-3c1127aa-z0r6                 Started Kubernetes kubelet.
